Material;Centro;Clase de valoración;Texto breve de material;Última modificación;Tipo material;Grupo de artículos;Unidad medida base;Grupo de compras;Indicador ABC;Caract.planif.nec.;Categoría valoración;Control de precios;Precio;Moneda;Cantidad base;Creado por
231022;CD00;;SECCION INFERIOR POSTE SUM-10 25m-S1 35.;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;593,672;COP;1;AE79461
231023;CD00;;SECCION MEDIA POSTE SUM-10 25m-S1 31.8cm;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;75,198;COP;1;AE79461
231024;CD00;;SECCION INFERIOR POSTE COP-01 30M-S2 52;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;1,189,341;COP;1;AE79461
231025;CD00;;SECCION MEDIA POSTE COP-01 30m-S2 40.5/;4/3/2024;ZAT;FESO1900;C/U;;;ND;MD04;S;1,190,378;COP;1;AE79461
231026;CD00;;SECCION SUPERIOR POSTE COP-01 30m-S2 24;4/3/2024;ZAT;FESO1900;C/U;;;ND;MD04;S;1,188,774;COP;1;AE79461
231027;CD00;;"""PLATINA L=27cms, A=8cms, e=1 1/2"""", CON";28/10/2021;ZAT;FESO1900;C/U;;;ND;MD04;S;1;COP;1;AE79461
231028;CD00;;Poste metal 27m 3Secc Suspension T. S1;2/8/2024;ZAT;FESO3200;C/U;;;ND;MD04;S;103,104,711;COP;1;AE79461
231029;CD00;;POSTE SUMITOMO, SUSPENSION DOBLE CIRCUIT;20/6/2022;ZAT;FESO3200;C/U;;;ND;MD04;S;1;COP;1;AE79461
231030;CD00;;SEGMENTO DE ESTRUCTURA DE 12,5X1,5X28CM;28/10/2021;ZAT;FESO2603;C/U;;;ND;MD04;S;1;COP;1;AE79461
231031;CD00;;POSTES RECORTADOS PARA SUBPOSTE VARIOS;7/3/2022;ZAT;FESO1600;C/U;;;ND;MD04;S;1;COP;1;AE79461
231032;CD00;;CAPACETE 320X400 mm P POSTE SUMITOMO;28/10/2021;ZAT;FESO2603;C/U;;;ND;MD04;S;1;COP;1;AE79461
231033;CD00;;SECCIÓN INF POSTE SUM-15 25m S1 55,8 cm;4/3/2024;ZAT;FESO1900;C/U;;;ND;MD04;S;237,468;COP;1;AE79461
231034;CD00;;SECCIÓN INF POSTE SUM-16 30m-S2 60,0 cm;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;277,047;COP;1;AE79461
231035;CD00;;SECCIÓN MEDIA POSTE SUM-11 25m-S2 40,6cm;4/3/2024;ZAT;FESO1900;C/U;;;ND;MD04;S;1;COP;1;AE79461
231036;CD00;;SECCIÓN MEDIA POSTE HYU-03 29m R2 60,9cm;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;1;COP;1;AE79461
231037;CD00;;SECCIÓN MEDIA POSTE SUM-06 75 PIES S126,;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;734,174;COP;1;AE79461
231038;CD00;;SECCIÓN MEDIA POSTE SUM-16 30m-S2 45,7cm;4/3/2024;ZAT;FESO1900;C/U;;;ND;MD04;S;692,617;COP;1;AE79461
231039;CD00;;SECCIÓN INF POSTE SUM 06 75 PIES S1;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;71,240;COP;1;AE79461
231040;CD00;;SECCIÓN INF POSTE SUM -11 25m -S2 31,8 c;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;59,367;COP;1;AE79461
231041;CD00;;SECCION SUPERIOR POSTE SUM-11 25m 31.8cm;4/3/2024;ZAT;FESO1900;C/U;;;ND;MD04;S;1;COP;1;AE79461
231042;CD00;;SECCIÓN INF POSTE SUM-07 75 PIES R126,7;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;31,662;COP;1;AE79461
231043;CD00;;SECCIÓN SUP POSTE SUM-06 75 PIES S116,5c;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;71,240;COP;1;AE79461
231044;CD00;;SECCIÓN SUP POSTE SUM-07 75 PIES R1 16,5;7/3/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;1;COP;1;AE79461
231045;CD00;;SECCIÓN SUP POSTE SUM-10 25m S1 31,8 cm;3/5/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;0;COP;1;AE79461
231046;CD00;;PLANTILLA PARA SUBPOSTE ARMCO;28/10/2021;ZAT;FESO2603;C/U;;;ND;MD04;S;1;COP;1;AE79461
231047;CD00;;SECCIÓN MED POSTE SUM-15 25m S1 40,6 cm;30/4/2022;ZAT;FESO1900;C/U;;;ND;MD04;S;524,410;COP;1;AE79461
231048;CD00;;Poste metálico 27m reten. Tipo R1 10°;24/11/2023;ZAT;FESO3200;C/U;;;ND;MD04;S;119,038,860;COP;1;AE79461
231049;CD00;;Poste metal 27m 3Secc Retencion T. R3 45;2/8/2024;ZAT;FESO3200;C/U;;;ND;MD04;S;180,609,843;COP;1;AE79461
231050;CD00;;POSTE METAL 27M 3SECC R5 90º 605/315 MCM;19/7/2024;ZAT;FESO3200;C/U;;;ND;MD04;S;191,292,229;COP;1;AE79461
231051;CD00;;Poste Metálico 12m x 510Kg;2/1/2024;ZMBT;FESO2000;C/U;;;ND;MD04;S;2,374,083;COP;1;AE79461
231052;CD00;;Poste Metálico 12 m x 1050 Kg;2/11/2024;ZMBT;FESO2000;C/U;;;ND;MD04;S;3,426,774;COP;1;AE79461
231053;CD00;;Poste Metálico 14m x 1050Kg;2/11/2024;ZMBT;FESO2000;C/U;;;ND;MD04;S;4,066,201;COP;1;AE79461
231054;CD00;;Poste Metálico 10m x 510Kg;2/11/2024;ZMBT;FESO2000;C/U;;;ND;MD04;S;2,145,766;COP;1;AE79461
231055;CD00;;Poste Metálico 10 m x 1050 Kg;2/11/2024;ZMBT;FESO2000;C/U;;;ND;MD04;S;2,183,191;COP;1;AE79461
231056;CD00;;Poste Concreto 10m, 1050 Kg con PAT;7/3/2022;ZMBT;FESO1600;C/U;;;ND;MD04;S;617,654;COP;1;AE79461
231057;CD00;;Poste Concreto 12m, 750 Kg con PAT;7/3/2022;ZMBT;FESO1600;C/U;;;ND;MD04;S;656,063;COP;1;AE79461
231058;CD00;;Poste Concreto 12m, 1050 Kg con PAT;7/3/2022;ZMBT;FESO1600;C/U;;;ND;MD04;S;812,767;COP;1;AE79461
